#At time x allocated y bytes for process z from i to j
At time 1 allocated 200 bytes for process 1 from 0 to 255
At time 1 allocated 170 bytes for process 2 from 256 to 511
At time 5 allocated 34 bytes for process 3 from 512 to 575
At time 5 freed 170 bytes from process 2 from 256 to 511
At time 6 freed 34 bytes from process 3 from 512 to 575
At time 8 allocated 64 bytes for process 4 from 256 to 319
At time 8 freed 200 bytes from process 1 from 0 to 255
At time 10 freed 64 bytes from process 4 from 256 to 319
At time 20 allocated 65 bytes for process 5 from 0 to 127
At time 24 freed 65 bytes from process 5 from 0 to 127
